Id,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,EducationYears,Passport,Exited
1477,Torkelson,514,France,Female,45.0,3,109032.23,1,0.0,1.0,155407.21,11.4,11487405,1
1478,Trevisani,535,EEUU,Male,30.0,6,103804.97,1,1.0,1.0,125710.53,9.4,23283144,0
1479,Vasilieva,659,EEUU,Female,44.0,9,23503.31,1,0.0,1.0,169862.01,15.0,26398185,1
1480,Bailey,696,EEUU,Male,34.0,9,150856.79,1,0.0,1.0,8236.78,11.1,21457109,0
1481,Standish,635,France,Female,37.0,9,146748.07,1,0.0,1.0,11407.58,11.8,26226423,0
1482,Fan,610,EEUU,Male,37.0,0,0.0,1,1.0,0.0,114514.64,13.2,19840221,0
1483,H?,650,EEUU,Female,27.0,6,0.0,2,1.0,0.0,1002.39,8.0,28817742,0
1484,Ositadimma,577,France,Female,31.0,4,61211.18,1,1.0,1.0,145250.43,12.7,23353561,0
1485,Bellucci,752,France,Female,38.0,10,101648.5,2,1.0,0.0,172001.44,13.2,17141448,0
1486,Peng,704,Italy,Female,44.0,9,153656.85,1,1.0,0.0,158742.81,14.6,10360064,0
1487,Schiavone,656,Italy,Male,69.0,6,163975.09,1,1.0,1.0,36108.5,15.4,14263013,0
1488,Hsieh,674,EEUU,Female,21.0,9,120150.39,2,1.0,1.0,33964.03,7.7,17142970,0
1489,Chinonyelum,654,France,Male,43.0,9,84673.17,2,0.0,1.0,82081.35,10.6,12867490,0
1490,Davidson,574,France,Male,33.0,3,129834.67,1,1.0,0.0,193131.42,11.2,18695092,0
1491,Andreev,683,France,Male,73.0,9,124730.26,1,1.0,1.0,51999.5,15.4,19856535,0
1492,Andreyev,632,France,Female,38.0,6,86569.76,2,1.0,0.0,98090.91,12.5,14625248,0
1493,Townsend,515,France,Male,60.0,9,113715.36,1,1.0,0.0,18424.24,13.9,24253138,1
1494,Napolitano,794,EEUU,Male,33.0,0,0.0,2,0.0,0.0,178122.71,11.4,18444001,0
1495,Christie,637,Italy,Female,34.0,9,0.0,2,0.0,0.0,26057.08,11.5,22119757,0
1496,Parsons,805,France,Male,24.0,6,143221.35,2,1.0,0.0,186035.72,10.6,22550813,0
1497,Fiorentini,570,EEUU,Male,23.0,2,0.0,1,0.0,0.0,198830.98,10.9,24405896,0
1498,Spinelli,619,Italy,Female,38.0,10,119658.49,1,1.0,1.0,8646.58,8.9,11015556,0
1499,Cocci,754,Italy,Female,19.0,9,0.0,1,1.0,0.0,189641.11,12.3,17054893,0
1500,Johnston,661,EEUU,Female,31.0,3,136067.82,2,1.0,0.0,65567.91,10.1,27257740,0
1501,Rizzo,731,France,Female,43.0,9,79120.27,1,0.0,0.0,548.52,11.3,13712383,1
1502,Hsia,685,EEUU,Male,30.0,2,0.0,2,1.0,1.0,140889.32,11.7,25871216,0
1503,T'ao,850,EEUU,Male,32.0,4,0.0,1,1.0,1.0,180622.02,13.5,10320793,0
1504,Woods,595,France,Female,41.0,9,150463.11,2,0.0,1.0,81548.38,10.3,13912370,0
1505,Lawrence,660,EEUU,Male,37.0,2,97324.91,1,1.0,0.0,23291.83,9.3,23557218,0
1506,Onyemere,488,France,Female,28.0,7,139246.22,2,1.0,0.0,106799.49,10.5,20521716,0
1507,Anayochukwu,606,Italy,Female,53.0,1,109330.06,1,1.0,1.0,75860.01,12.9,21018488,0
1508,Enderby,542,EEUU,Male,29.0,9,0.0,1,1.0,0.0,8342.35,10.5,14680576,0
1509,Webb,583,EEUU,Male,38.0,8,0.0,1,1.0,0.0,47848.56,12.4,20672869,0
1510,Seleznyov,595,EEUU,Male,31.0,4,0.0,2,1.0,0.0,189995.86,12.8,16906879,0
1511,Manfrin,488,EEUU,Male,43.0,10,112751.13,1,1.0,1.0,28332.0,12.2,13374246,0
1512,Hope,714,EEUU,Male,37.0,9,148466.93,2,0.0,1.0,151280.96,12.9,19508397,0
1513,McIntosh,523,EEUU,Male,30.0,1,83181.29,1,1.0,1.0,138176.78,9.9,22504363,0
1514,Kepley,764,EEUU,Female,24.0,7,0.0,2,1.0,0.0,186105.99,13.0,20263215,0
1515,Golubov,767,EEUU,Male,36.0,3,0.0,1,0.0,0.0,65147.27,9.4,24674523,0
1516,MacDonald,766,France,Female,28.0,3,62717.84,2,1.0,1.0,13182.43,10.1,10666750,0
1517,Romani,765,Italy,Female,32.0,9,178095.55,1,0.0,0.0,47247.56,11.2,28201849,0
1518,Harvey,737,EEUU,Male,44.0,7,0.0,2,0.0,0.0,57898.58,12.9,13016599,0
1519,Calabresi,567,France,Male,41.0,0,134378.89,1,1.0,1.0,105746.94,13.5,21921572,0
1520,Salter,577,EEUU,Female,34.0,2,0.0,2,1.0,1.0,84033.35,10.9,11260958,0
1521,Wickens,592,Italy,Male,37.0,9,0.0,3,1.0,1.0,10656.89,10.4,13605712,0
1522,Piazza,737,EEUU,Female,32.0,7,128551.36,2,0.0,1.0,189402.71,12.8,26710225,0
1523,Bruche,771,Italy,Male,45.0,0,139825.56,1,0.0,0.0,170984.97,12.4,17136038,1
1524,Evdokimov,594,Italy,Female,24.0,0,97378.54,1,1.0,1.0,71405.17,10.5,15246224,0
1525,Lei,537,Italy,Male,42.0,1,190569.23,1,0.0,1.0,127154.8,12.7,25783898,0
1526,Mao,674,EEUU,Female,45.0,6,72494.69,1,0.0,1.0,140041.78,11.2,11295739,0
1527,Lei,583,EEUU,Male,33.0,7,122531.86,1,1.0,0.0,13549.24,12.4,19739678,0
1528,Sugden,634,France,Female,37.0,7,143258.85,2,1.0,0.0,192721.98,10.8,17759247,0
1529,Grosse,744,France,Male,41.0,7,190409.34,2,1.0,1.0,138361.48,11.4,18035797,0
1530,Hughes,525,Italy,Female,47.0,6,118560.0,1,1.0,0.0,82522.61,10.7,20988029,1
1531,Ch'eng,498,EEUU,Male,34.0,5,0.0,2,1.0,1.0,91711.66,13.2,12546453,0
1532,Milne,850,France,Male,44.0,2,112755.34,2,0.0,0.0,158171.36,14.8,19904806,0
1533,Artemyeva,615,EEUU,Female,30.0,9,0.0,1,1.0,0.0,87347.82,12.5,13660823,0
1534,Chidozie,590,France,Female,27.0,8,123599.49,2,1.0,0.0,1676.92,8.1,22342479,0
1535,Hsing,479,Italy,Male,37.0,6,118433.94,1,0.0,1.0,160060.9,12.2,20773239,0
1536,Uspenskaya,661,France,Male,35.0,8,124098.54,1,1.0,0.0,86678.48,9.7,17426056,0
1537,Wright,554,Italy,Male,30.0,6,135370.12,1,1.0,1.0,179689.05,12.1,28384237,1
1538,He,624,Italy,Female,28.0,2,0.0,2,0.0,1.0,104353.26,9.0,23574863,0
1539,Nnamutaezinwa,569,EEUU,Female,43.0,7,0.0,2,1.0,1.0,77703.19,12.8,28519334,0
1540,Pratt,511,Italy,Female,66.0,4,0.0,1,1.0,0.0,1643.11,14.0,25628250,1
1541,Hargreaves,685,EEUU,Male,35.0,9,0.0,1,1.0,0.0,167033.83,11.5,24580211,0
1542,Sheets,554,Italy,Female,46.0,7,87603.35,3,0.0,1.0,96929.24,13.1,23826225,1
1543,Walker,655,EEUU,Male,28.0,10,0.0,2,0.0,1.0,126565.21,10.4,22823120,0
1544,Trevisani,704,EEUU,Male,23.0,6,166594.78,1,1.0,1.0,155823.2,8.9,10557879,0
1545,L?,597,Italy,Female,66.0,3,0.0,1,1.0,1.0,70532.53,13.5,11221060,0
1546,Ch'ang,576,EEUU,Male,24.0,3,0.0,1,0.0,1.0,78498.04,9.9,18261050,1
1547,Hsueh,487,Italy,Male,33.0,8,145729.71,1,1.0,0.0,41365.85,12.1,10837572,0
1548,Rice,802,EEUU,Male,33.0,8,0.0,2,1.0,0.0,143706.18,10.9,20948795,0
1549,Padovesi,591,France,Female,44.0,10,113581.98,1,1.0,0.0,1985.41,12.3,10935015,0
1550,Pagnotto,797,EEUU,Female,55.0,10,0.0,4,1.0,1.0,49418.87,11.7,11695277,1
1551,Ts'ui,658,France,Male,31.0,2,77082.65,2,0.0,0.0,13482.28,12.2,14882176,0
1552,Black,593,Italy,Female,38.0,4,88736.44,2,1.0,0.0,67020.03,12.6,11040767,0
1553,Fomin,686,EEUU,Male,35.0,4,0.0,1,1.0,0.0,8816.37,11.6,25974065,0
1554,Binder,688,France,Female,46.0,0,74458.25,1,0.0,1.0,6866.31,11.0,13948406,0
1555,Monaldo,588,Italy,Female,35.0,7,0.0,2,1.0,1.0,108739.15,11.3,23110398,0
1556,Ch'ang,835,France,Male,18.0,2,142872.36,1,1.0,1.0,117632.63,9.7,13558883,0
1557,Durant,623,France,Female,48.0,1,108076.33,1,1.0,0.0,118855.26,12.3,15314337,1
1558,Maslow,747,Italy,Male,37.0,1,0.0,2,0.0,1.0,180551.76,12.3,25073592,0
1559,Brown,682,EEUU,Male,42.0,0,0.0,1,1.0,1.0,160828.98,12.1,20296750,0
1560,Genovese,701,Italy,Female,35.0,9,0.0,2,0.0,0.0,170996.86,11.6,20139567,0
1561,Shaw,679,EEUU,Male,45.0,3,146758.24,1,1.0,0.0,48466.89,10.1,10979406,0
1562,Taylor,797,EEUU,Male,24.0,5,0.0,2,1.0,0.0,182257.61,11.3,15047586,0
1563,Fiorentino,465,EEUU,Male,33.0,8,0.0,2,1.0,0.0,177668.55,11.9,13312300,0
1564,Thomson,633,EEUU,Male,59.0,5,0.0,1,1.0,1.0,137273.97,16.1,11357722,0
1565,Maclean,545,EEUU,Male,38.0,1,88293.13,2,1.0,1.0,24302.95,11.6,27388088,0
1566,Lin,666,France,Female,50.0,7,109062.28,1,1.0,1.0,140136.1,15.2,16198503,1
1567,Chiang,684,France,Female,46.0,3,102955.14,2,1.0,0.0,154137.33,11.6,10770396,0
1568,Downer,606,France,Female,41.0,4,132670.53,1,1.0,0.0,156476.36,13.5,15873896,1
1569,Samaniego,663,EEUU,Male,45.0,5,83195.12,1,1.0,1.0,48682.1,13.4,20822993,0
1570,Kennedy,786,France,Female,32.0,2,104336.43,2,0.0,0.0,59559.81,9.1,23093689,0
1571,P'eng,701,France,Male,38.0,3,125385.49,2,0.0,1.0,52044.66,12.9,15681563,0
1572,Iweobiegbulam,470,Italy,Female,48.0,6,140576.11,1,1.0,1.0,116971.05,12.3,28388247,0
1573,Bishop,636,Italy,Male,52.0,4,111284.53,1,0.0,1.0,32936.44,10.8,20493161,1
1574,Obialo,573,Italy,Male,44.0,9,0.0,2,1.0,0.0,107124.17,13.5,22635581,0
1575,Hill,765,EEUU,Male,42.0,4,123311.39,2,1.0,1.0,82868.34,10.9,24306984,0
1576,Ifeatu,631,EEUU,Female,31.0,8,137687.72,1,1.0,0.0,190067.12,10.5,12554935,0
1577,Lombardo,644,Italy,Female,31.0,5,86006.3,1,1.0,1.0,73922.95,10.1,25751206,0
1578,Buccho,632,EEUU,Male,50.0,2,0.0,2,0.0,0.0,57942.88,12.1,24190161,0
1579,Chiabuotu,704,Italy,Male,24.0,10,122109.78,1,1.0,1.0,127654.37,10.1,23708102,0
1580,Paterson,711,EEUU,Male,51.0,7,0.0,3,1.0,0.0,38409.79,11.3,12890771,1
1581,Victor,635,Italy,Male,38.0,0,103257.14,1,0.0,0.0,158344.63,13.5,18279147,0
1582,Gallo,619,EEUU,Female,30.0,7,70729.17,1,1.0,1.0,160948.87,11.6,18837025,0
1583,Bezrukova,713,EEUU,Male,38.0,9,72286.84,2,1.0,1.0,26136.89,11.5,16346614,0
1584,Holmes,645,France,Male,33.0,8,149564.61,1,0.0,0.0,149913.84,12.1,22487315,0
1585,Y?,586,EEUU,Male,33.0,9,0.0,1,1.0,0.0,6975.02,9.0,25777484,0
1586,Tao,709,France,Male,45.0,4,122917.71,1,1.0,1.0,11.58,9.9,20693978,1
1587,Gibbs,850,EEUU,Female,34.0,4,71379.53,2,1.0,1.0,154000.99,13.4,20055685,0
1588,Davidson,603,France,Female,35.0,9,145623.36,1,1.0,0.0,163181.62,12.1,10316034,0
1589,Warren,626,France,Male,39.0,10,132287.92,3,1.0,1.0,51467.92,10.2,20610703,1
1590,P'eng,842,EEUU,Male,44.0,3,141252.18,4,0.0,1.0,128521.16,12.3,27922259,1
1591,Daniels,612,France,Female,62.0,8,140745.33,1,1.0,0.0,193437.89,13.8,18658560,1
1592,Lorenzo,775,EEUU,Female,32.0,2,108698.96,2,1.0,1.0,161069.73,12.7,12336106,0
1593,Shih,701,EEUU,Male,23.0,3,0.0,2,1.0,0.0,38960.59,8.1,13648453,0
1594,Worsnop,820,EEUU,Male,33.0,2,132150.26,2,1.0,0.0,23067.97,12.0,25217357,0
1595,Vidal,503,EEUU,Male,42.0,8,104430.08,1,1.0,1.0,147557.71,13.3,27310534,0
1596,He,700,EEUU,Female,82.0,2,0.0,2,0.0,1.0,182055.36,16.1,12323362,0
1597,Genovese,547,EEUU,Female,32.0,2,0.0,2,1.0,0.0,132002.83,12.8,27770473,0
1598,Amaechi,641,EEUU,Female,37.0,2,0.0,2,1.0,0.0,3939.87,9.1,13807506,0
1599,Padovano,623,EEUU,Female,39.0,1,160903.2,1,0.0,0.0,78774.36,10.5,14438818,0
1600,Palerma,765,France,Male,43.0,4,148962.76,1,0.0,1.0,173878.87,11.8,27460929,1
1601,Dumetolisa,573,EEUU,Male,26.0,8,86270.93,2,1.0,1.0,90177.3,10.7,11357478,0
1602,Mao,558,EEUU,Male,40.0,6,0.0,2,1.0,0.0,173844.89,12.8,22793373,0
1603,Simpson,509,Italy,Female,25.0,3,108738.71,2,1.0,0.0,106920.57,10.5,27679126,0
1604,Lung,688,EEUU,Female,54.0,9,0.0,1,1.0,0.0,191212.63,12.6,14906518,1
1605,McLean,709,EEUU,Female,24.0,3,110949.41,1,1.0,1.0,168515.61,9.2,25265019,0
1606,McDonald,703,Italy,Male,73.0,5,137761.55,1,1.0,1.0,159677.46,14.2,25394419,0
1607,Carter,705,EEUU,Male,25.0,9,0.0,2,0.0,1.0,112331.19,8.9,13101741,0
1608,Adams,647,France,Female,35.0,3,166518.63,2,1.0,0.0,147930.46,11.3,21896719,0
1609,Genovese,663,France,Male,28.0,8,123674.28,2,1.0,1.0,87985.2,10.7,17512176,0
1610,Mickey,679,EEUU,Female,44.0,3,118742.74,2,1.0,0.0,1568.91,13.2,17893607,0
1611,Brennan,584,EEUU,Female,39.0,2,112687.69,1,1.0,1.0,127749.61,11.7,10489518,0
1612,Fraser,665,France,Female,51.0,9,110610.41,2,0.0,1.0,1112.76,10.4,19901448,1
1613,Moretti,634,France,Female,56.0,3,116251.24,1,0.0,1.0,42429.88,13.1,27328082,1
1614,Kodilinyechukwu,635,Italy,Female,48.0,2,0.0,2,1.0,1.0,136551.25,13.1,15053723,0
1615,Spencer,630,France,Female,31.0,2,112373.49,2,1.0,1.0,131167.98,9.4,20598328,0
1616,Laidley,580,EEUU,Male,31.0,2,0.0,2,0.0,1.0,64014.24,8.8,17501507,0
1617,Bancks,683,Italy,Male,30.0,1,113257.2,1,1.0,1.0,65035.02,9.0,21101418,0
1618,Evdokimov,550,France,Female,45.0,8,111257.59,1,0.0,0.0,97623.42,10.8,19477456,1
1619,Santana,542,Italy,Male,34.0,8,108653.93,1,0.0,1.0,144725.14,10.0,13728922,0
1620,Blue,534,Italy,Male,35.0,4,0.0,2,0.0,0.0,9541.15,10.0,15739187,0
1621,Diehl,644,Italy,Male,37.0,9,0.0,2,1.0,1.0,96442.86,10.9,24361690,0
1622,Mills,587,France,Female,39.0,6,101851.8,2,1.0,0.0,7103.71,9.8,24838339,0
1623,Moody,609,France,Female,71.0,6,113317.1,1,1.0,0.0,108258.22,16.6,19637191,1
1624,Walkom,763,EEUU,Female,35.0,7,115651.6,2,1.0,1.0,104706.29,10.0,12707825,0
1625,Bates,732,EEUU,Male,41.0,8,0.0,2,1.0,1.0,170886.17,11.2,19679874,0
1626,Manna,503,Italy,Male,25.0,7,0.0,1,0.0,1.0,192841.13,9.9,11677841,0
1627,Faulk,588,EEUU,Female,21.0,8,0.0,2,1.0,1.0,110114.19,10.5,21955161,0
1628,Porter,718,Italy,Male,34.0,5,113922.44,2,1.0,0.0,30772.22,9.0,10338313,0
1629,Miller,841,EEUU,Male,74.0,9,108131.53,1,0.0,1.0,60830.38,13.2,18100382,0
1630,Bentley,516,EEUU,Female,47.0,6,109387.33,1,0.0,0.0,121365.45,11.6,19418639,0
1631,Ko,534,Italy,Female,33.0,3,151233.62,1,0.0,0.0,199336.63,13.6,23980265,0
1632,Napolitano,776,France,Female,37.0,1,93124.04,2,1.0,1.0,196079.32,14.3,26999511,0
1633,Forbes,700,EEUU,Male,38.0,8,134811.3,1,1.0,0.0,1299.75,11.3,10314500,0
1634,Otutodilichukwu,572,Italy,Male,23.0,2,126873.52,1,0.0,1.0,67040.12,11.5,16965801,0
1635,Christie,514,Italy,Male,30.0,7,0.0,1,0.0,1.0,125010.24,9.8,13292020,0
1636,Heath,589,EEUU,Female,31.0,10,110635.32,1,1.0,0.0,148218.86,13.3,16587248,0
1637,Su,705,EEUU,Female,48.0,0,0.0,2,0.0,0.0,149772.61,14.8,17786947,0
1638,Pope,682,Italy,Female,47.0,10,134032.01,1,1.0,0.0,144290.97,12.6,11870157,0
1639,Williams,456,Italy,Male,32.0,9,147506.25,1,1.0,1.0,135399.21,11.4,20449349,0
1640,Wright,533,Italy,Male,38.0,1,135289.33,2,0.0,1.0,152956.33,10.8,23246564,0
1641,Anderson,773,EEUU,Female,41.0,7,190238.93,1,1.0,1.0,57549.65,10.9,14702624,0
1642,She,546,France,Female,52.0,1,106074.89,1,1.0,1.0,23548.45,12.8,14326533,1
1643,Rose,624,Italy,Male,51.0,5,174397.21,2,1.0,1.0,172372.63,13.9,23434184,0
1644,Simpson,584,Italy,Female,59.0,1,0.0,1,0.0,1.0,130260.11,15.2,17927813,1
1645,Baresi,615,EEUU,Male,39.0,4,133707.09,1,1.0,1.0,108152.75,10.6,23198201,0
1646,Boyle,547,EEUU,Male,62.0,10,127738.75,2,1.0,1.0,85153.0,14.7,16749763,0
1647,Lori,653,EEUU,Female,74.0,0,121276.32,1,1.0,1.0,160348.31,16.0,12736104,0
1648,Davidson,838,Italy,Male,43.0,9,123105.88,2,1.0,0.0,145765.83,12.6,15954324,0
1649,Halpern,581,France,Female,26.0,3,105099.45,1,1.0,1.0,184520.0,11.0,23353303,1
1650,Bellucci,591,EEUU,Male,24.0,6,147360.0,1,1.0,1.0,25310.82,9.0,27592050,0
1651,Jackson,556,Italy,Male,38.0,2,115463.16,1,1.0,0.0,150679.65,11.3,28505801,0
1652,Chou,664,Italy,Male,44.0,7,77526.66,3,0.0,0.0,57338.56,13.9,13102387,1
1653,Yermolayeva,624,Italy,Male,38.0,7,123906.55,1,1.0,0.0,135096.78,12.4,17320160,0
1654,Holland,777,EEUU,Male,37.0,1,0.0,1,1.0,1.0,126837.72,11.6,17768274,0
1655,Chidozie,695,EEUU,Female,42.0,5,0.0,1,0.0,1.0,72172.13,11.8,26574771,1
1656,Butters,666,EEUU,Male,39.0,10,0.0,2,1.0,0.0,102999.33,13.0,28177855,0
1657,Burke,807,EEUU,Female,36.0,4,0.0,2,0.0,1.0,147007.33,11.8,24227027,0
1658,Marcelo,470,Italy,Male,31.0,4,55732.92,2,1.0,1.0,103792.53,12.0,11402741,0
1659,Marsden,608,EEUU,Male,33.0,9,89968.69,1,1.0,0.0,68777.26,12.3,17672864,0
1660,Fleming,680,EEUU,Female,43.0,4,0.0,2,1.0,1.0,58761.33,13.7,27539339,0
1661,Gibson,661,EEUU,Male,41.0,5,0.0,1,0.0,1.0,88279.6,11.9,19456816,0
1662,Deleon,582,France,Female,50.0,6,96486.57,2,1.0,1.0,20344.02,12.5,20738946,0
1663,Wu,586,Italy,Female,28.0,2,0.0,2,1.0,1.0,92067.35,12.5,12787850,0
1664,Barrera,535,EEUU,Male,47.0,0,160729.1,1,0.0,1.0,145986.35,11.5,14215335,0
1665,Geoghegan,645,France,Male,41.0,2,93925.3,1,1.0,0.0,123982.14,10.5,23289022,1
1666,Cremonesi,699,EEUU,Male,22.0,9,99339.0,1,1.0,0.0,68297.61,11.6,28731439,1
1667,Whiddon,514,EEUU,Male,32.0,8,0.0,2,1.0,0.0,95857.18,10.2,28693061,0
1668,Blair,725,France,Male,39.0,1,50880.98,2,1.0,1.0,184023.54,11.1,13409873,0
1669,Fang,617,EEUU,Female,26.0,2,165947.99,2,0.0,1.0,168834.38,11.4,15920544,0
1670,Thompson,547,EEUU,Female,51.0,1,0.0,2,1.0,1.0,56908.41,13.3,26067429,0
1671,Cameron,605,EEUU,Male,52.0,1,63349.75,1,1.0,0.0,108887.44,12.7,25747629,0
1672,He,594,EEUU,Male,37.0,2,0.0,2,0.0,1.0,95864.5,9.7,11021874,0
1673,Morrison,581,EEUU,Male,54.0,4,89299.81,1,0.0,0.0,5558.47,12.1,17566588,1
1674,Nwebube,662,EEUU,Male,32.0,9,0.0,2,0.0,0.0,65089.38,12.8,13948520,0
1675,Ewing,596,EEUU,Male,37.0,2,0.0,1,0.0,1.0,121175.86,10.8,26259734,0
1676,Lettiere,516,EEUU,Female,46.0,6,62212.29,1,0.0,1.0,171681.86,13.9,21530181,1
1677,Bruno,544,EEUU,Female,33.0,6,0.0,2,1.0,1.0,124113.04,11.5,14227534,0
1678,Ponomarev,611,France,Female,36.0,10,103294.56,1,1.0,0.0,160548.12,13.8,23205040,0
1679,Grimmett,768,France,Male,48.0,3,122831.58,1,1.0,1.0,24533.89,11.9,15038675,1
1680,Scott,548,France,Male,32.0,5,175214.71,1,1.0,1.0,155165.61,11.2,18677217,0
1681,Chalmers,619,France,Female,41.0,8,142015.76,2,1.0,0.0,114323.66,13.8,16524524,0
1682,Chukwuhaenye,634,EEUU,Female,41.0,7,0.0,2,1.0,1.0,131284.93,13.3,17008332,0
1683,Doyle,614,EEUU,Male,51.0,4,40685.92,1,1.0,1.0,46775.28,10.9,17427675,0
1684,Lu,580,France,Female,33.0,7,131647.01,2,0.0,0.0,79775.19,11.5,13403864,0
1685,Chijioke,731,France,Female,21.0,8,132312.06,1,1.0,0.0,106663.46,10.5,27413652,1
1686,Osonduagwuike,680,EEUU,Male,33.0,1,123082.08,1,1.0,0.0,134960.98,12.9,10354715,0
1687,Dumetochukwu,447,EEUU,Male,41.0,3,0.0,4,1.0,1.0,197490.39,11.9,20217111,1
1688,Mironova,593,France,Female,62.0,3,118233.81,1,0.0,1.0,24765.53,14.0,24933174,1
1689,Gorshkov,481,Italy,Male,39.0,1,111233.09,1,1.0,1.0,123995.15,13.0,28715370,0
1690,Chinagorom,735,EEUU,Male,55.0,6,134140.68,1,1.0,0.0,2267.88,12.6,17459028,0
1691,Cameron,743,EEUU,Male,36.0,4,0.0,2,1.0,1.0,190911.02,13.1,10935683,0
1692,Ritchie,705,EEUU,Female,39.0,5,149379.66,2,1.0,0.0,96075.55,12.7,24532156,0
1693,Gray,765,EEUU,Male,43.0,9,157960.49,2,0.0,0.0,136602.8,11.2,26971253,0
1694,Chuang,526,EEUU,Female,37.0,5,53573.18,1,1.0,0.0,62830.97,9.4,27621238,0
1695,Chen,580,France,Female,36.0,6,145387.32,2,1.0,1.0,169963.2,10.9,19977741,1
1696,Zito,422,Italy,Female,54.0,4,0.0,2,1.0,1.0,7166.71,13.2,11693645,0
1697,Finch,640,France,Male,48.0,1,111599.32,1,0.0,1.0,135995.58,14.5,28430400,0
1698,Sneddon,639,Italy,Female,54.0,2,0.0,2,1.0,1.0,53843.71,11.8,25043717,0
1699,Chiazagomekpele,650,Italy,Male,71.0,0,0.0,1,1.0,1.0,175380.77,15.1,26944242,0
1700,Olisaemeka,744,EEUU,Male,29.0,1,0.0,1,0.0,0.0,82422.97,9.7,11036512,0
1701,Smith,750,Italy,Female,36.0,6,0.0,2,1.0,1.0,59816.41,9.8,18862916,0
1702,Tseng,573,EEUU,Female,32.0,9,125321.84,2,1.0,1.0,130234.63,11.9,20595494,0
1703,Collins,646,EEUU,Female,38.0,2,0.0,2,0.0,0.0,178752.73,13.1,26529637,0
1704,Lu,720,EEUU,Female,34.0,6,110717.38,1,1.0,1.0,9398.45,12.0,14559037,0
1705,Baddeley,648,EEUU,Female,39.0,6,130694.89,2,1.0,1.0,153955.38,10.9,27382614,1
1706,Macgroarty,612,Italy,Female,62.0,0,167026.61,2,1.0,1.0,192892.05,16.4,15550813,0
1707,Pirozzi,776,France,Male,33.0,8,115130.34,1,0.0,0.0,129525.5,11.4,18935417,1
1708,Tao,576,Italy,Male,33.0,3,0.0,2,0.0,1.0,190112.05,10.7,16752479,0
1709,Crumbley,700,EEUU,Male,37.0,1,135179.49,1,1.0,0.0,160670.37,11.5,19725005,0
1710,Ritchie,676,EEUU,Female,43.0,2,0.0,1,1.0,1.0,55119.53,10.5,17069135,0
1711,Taylor,768,France,Female,47.0,5,104552.61,1,1.0,0.0,48137.08,13.9,27390355,1
1712,Suffolk,518,EEUU,Female,45.0,9,105525.65,2,1.0,1.0,73418.29,13.1,22117786,0
1713,Norris,660,EEUU,Male,41.0,3,0.0,2,1.0,1.0,108665.89,12.2,19170700,0
1714,Leonard,710,EEUU,Female,32.0,3,0.0,1,1.0,0.0,94790.34,11.5,25055682,0
1715,Jamieson,528,Italy,Male,40.0,4,0.0,2,1.0,0.0,25399.7,12.4,10479719,0
1716,Maclean,748,Italy,Male,60.0,3,0.0,2,1.0,1.0,78194.37,14.8,23819707,0
1717,Toscano,663,France,Male,42.0,7,115930.87,1,1.0,0.0,19862.78,9.5,20647730,0
1718,Chiemenam,793,EEUU,Male,39.0,3,137817.52,1,0.0,0.0,83997.79,11.6,18680193,0
1719,Echezonachukwu,753,EEUU,Female,38.0,6,142263.45,1,0.0,1.0,33730.43,9.2,23349268,0
1720,Beneventi,645,EEUU,Female,45.0,8,85325.93,1,0.0,0.0,22558.74,12.0,17884298,0
1721,Ifesinachi,643,EEUU,Female,45.0,4,45144.43,1,1.0,0.0,60917.24,13.8,28655880,1
1722,Pugliesi,646,Italy,Male,25.0,5,182876.88,2,1.0,1.0,42537.59,9.1,18510831,1
1723,Pugh,615,Italy,Male,19.0,5,0.0,2,1.0,0.0,159920.92,11.9,16058621,0
1724,Findlay,690,EEUU,Male,39.0,6,0.0,2,1.0,0.0,160532.88,12.0,11403263,0
1725,Lu,603,EEUU,Male,31.0,8,0.0,2,1.0,1.0,169915.02,12.4,19624504,0
1726,Mai,550,EEUU,Female,48.0,6,0.0,2,1.0,1.0,191870.28,13.9,27144056,0
1727,Endrizzi,706,Italy,Male,29.0,2,0.0,2,1.0,1.0,18255.51,8.8,16286155,0
1728,Hutchinson,705,Italy,Female,39.0,8,144102.32,1,1.0,1.0,11682.36,10.6,28701430,0
1729,Chiu,430,EEUU,Male,35.0,1,118894.22,1,0.0,0.0,2923.61,12.1,26288850,0
1730,Mackenzie,587,EEUU,Male,39.0,10,0.0,2,1.0,1.0,170409.45,11.1,25393293,0
1731,Summers,653,EEUU,Male,51.0,3,0.0,1,1.0,0.0,170426.65,13.8,25753627,1
1732,Franklin,504,France,Male,56.0,9,104217.3,1,0.0,0.0,55857.48,12.1,24763353,1
1733,Hanson,816,France,Female,38.0,5,130878.75,3,1.0,0.0,71905.77,11.4,22477565,1
1734,Crawford,573,Italy,Male,33.0,1,160777.9,1,1.0,1.0,149536.15,12.3,16486301,0
1735,Hare,850,EEUU,Female,43.0,3,0.0,2,0.0,0.0,2465.8,11.0,19925630,0
1736,Fan,559,EEUU,Male,32.0,9,145303.52,1,1.0,0.0,103560.98,9.4,18796720,0
1737,Ku,676,EEUU,Male,33.0,6,171490.78,1,0.0,0.0,79099.64,10.0,10281617,0
1738,Lung,445,Italy,Male,62.0,1,64119.38,1,1.0,1.0,76569.64,15.3,16072081,1
